contig	position	read_name	-3_event_level_mean	-3_event_stdv	-3_event_length	-3_standardized_level	-3_event_level_median	-3_event_stdv_median	-3_event_length_median	-3_diff_stdv	-2_event_level_mean	-2_event_stdv	-2_event_length	-2_standardized_level	-2_event_level_median	-2_event_stdv_median	-2_event_length_median	-2_diff_stdv	-1_event_level_mean	-1_event_stdv	-1_event_length	-1_standardized_level	-1_event_level_median	-1_event_stdv_median	-1_event_length_median	-1_diff_stdv	0_event_level_mean	0_event_stdv	0_event_length	0_standardized_level	0_event_level_median	0_event_stdv_median	0_event_length_median	0_diff_stdv	+1_event_level_mean	+1_event_stdv	+1_event_length	+1_standardized_level	+1_event_level_median	+1_event_stdv_median	+1_event_length_median	+1_diff_stdv	+2_event_level_mean	+2_event_stdv	+2_event_length	+2_standardized_level	+2_event_level_median	+2_event_stdv_median	+2_event_length_median	+2_diff_stdv	+3_event_level_mean	+3_event_stdv	+3_event_length	+3_standardized_level	+3_event_level_median	+3_event_stdv_median	+3_event_length_median	+3_diff_stdv
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1761	01594f60-1968-48f1-8eb1-45ae97673536	114.425	3.82175	0.0050625	1.0425	114.425	3.82175	0.0050625	-0.009909326	84.42167	2.04125	0.00855	0.115	83.29	1.824	0.0076375	-0.041666668	91.065	3.74225	0.0050625	0.07	91.065	3.74225	0.0050625	-0.40410033	82.13	2.47	0.00896	1.91	82.13	2.47	0.00896	0.17619048	86.09	1.284	0.00498	0.69	86.09	1.284	0.00498	-0.5962264	81.53	2.372	0.01511	0.985	81.53	2.372	0.01511	0.11361502	84.14	1.679	0.0073	-0.56	84.14	1.679	0.0073	-0.7054386
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1762	01594f60-1968-48f1-8eb1-45ae97673536	84.42167	2.04125	0.00855	0.115	83.29	1.824	0.0076375	-0.041666668	91.065	3.74225	0.0050625	0.07	91.065	3.74225	0.0050625	-0.40410033	82.13	2.47	0.00896	1.91	82.13	2.47	0.00896	0.17619048	86.09	1.284	0.00498	0.69	86.09	1.284	0.00498	-0.5962264	81.53	2.372	0.01511	0.985	81.53	2.372	0.01511	0.11361502	84.14	1.679	0.0073	-0.56	84.14	1.679	0.0073	-0.7054386	82.05	0.967	0.00465	1.8	82.05	0.967	0.00465	-0.53285027
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1763	01594f60-1968-48f1-8eb1-45ae97673536	91.065	3.74225	0.0050625	0.07	91.065	3.74225	0.0050625	-0.40410033	82.13	2.47	0.00896	1.91	82.13	2.47	0.00896	0.17619048	86.09	1.284	0.00498	0.69	86.09	1.284	0.00498	-0.5962264	81.53	2.372	0.01511	0.985	81.53	2.372	0.01511	0.11361502	84.14	1.679	0.0073	-0.56	84.14	1.679	0.0073	-0.7054386	82.05	0.967	0.00465	1.8	82.05	0.967	0.00465	-0.53285027	82.53	1.27425	0.0035675	-0.36	82.53	1.27425	0.0035675	-0.5528947
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1906	01594f60-1968-48f1-8eb1-45ae97673536	72.73	1.971	0.00432	0.82	72.73	1.971	0.00432	-0.14304347	73.07	1.696	0.00963	0.19	73.07	1.696	0.00963	-0.19620854	94.15	3.267	0.0083	0.19	94.15	3.267	0.0083	-0.35815325	113.77	5.119	0.00332	0.43	113.77	5.119	0.00332	0.69503313	120.53	2.9135	0.018095	0.655	120.53	2.9135	0.018095	-0.17929578	86.68	4.236	0.00398	0.3	86.68	4.236	0.00398	0.4863158	106.37	6.468	0.0073	-0.37	106.37	6.468	0.0073	0.6210526
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2031	01594f60-1968-48f1-8eb1-45ae97673536	114.56	2.547	0.00232	0.63	114.56	2.547	0.00232	-0.15662251	118.09	2.609	0.01693	0.005	118.09	2.609	0.01693	-0.2650704	88.46	4.993	0.00465	2.2	88.46	4.993	0.00465	0.7519298	81.68	1.97	0.0093	0.98	81.68	1.97	0.0093	-0.048309177	92.73	2.715	0.00266	0.36	92.73	2.715	0.00266	-0.047368422	108.74	2.721	0.00365	0.14	108.74	2.721	0.00365	-0.39398664	113.44	3.474	0.00365	-0.18	113.44	3.474	0.00365	-0.37517986
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2032	01594f60-1968-48f1-8eb1-45ae97673536	118.09	2.609	0.01693	0.005	118.09	2.609	0.01693	-0.2650704	88.46	4.993	0.00465	2.2	88.46	4.993	0.00465	0.7519298	81.68	1.97	0.0093	0.98	81.68	1.97	0.0093	-0.048309177	92.73	2.715	0.00266	0.36	92.73	2.715	0.00266	-0.047368422	108.74	2.721	0.00365	0.14	108.74	2.721	0.00365	-0.39398664	113.44	3.474	0.00365	-0.18	113.44	3.474	0.00365	-0.37517986	104.3	5.558	0.00764	-0.2	104.3	5.558	0.00764	0.3689655
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2033	01594f60-1968-48f1-8eb1-45ae97673536	88.46	4.993	0.00465	2.2	88.46	4.993	0.00465	0.7519298	81.68	1.97	0.0093	0.98	81.68	1.97	0.0093	-0.048309177	92.73	2.715	0.00266	0.36	92.73	2.715	0.00266	-0.047368422	108.74	2.721	0.00365	0.14	108.74	2.721	0.00365	-0.39398664	113.44	3.474	0.00365	-0.18	113.44	3.474	0.00365	-0.37517986	104.3	5.558	0.00764	-0.2	104.3	5.558	0.00764	0.3689655	120.85	2.57	0.00432	-0.16	120.85	2.57	0.00432	-0.5621806
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2034	01594f60-1968-48f1-8eb1-45ae97673536	81.68	1.97	0.0093	0.98	81.68	1.97	0.0093	-0.048309177	92.73	2.715	0.00266	0.36	92.73	2.715	0.00266	-0.047368422	108.74	2.721	0.00365	0.14	108.74	2.721	0.00365	-0.39398664	113.44	3.474	0.00365	-0.18	113.44	3.474	0.00365	-0.37517986	104.3	5.558	0.00764	-0.2	104.3	5.558	0.00764	0.3689655	120.85	2.57	0.00432	-0.16	120.85	2.57	0.00432	-0.5621806	131.875	4.4755	0.003985	1.125	131.875	4.4755	0.003985	-0.21344464
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2112	01594f60-1968-48f1-8eb1-45ae97673536	113.19	7.887	0.00432	-0.14	113.19	7.887	0.00432	0.5464706	78.91	4.443	0.01162	-0.1	78.91	4.443	0.01162	0.14806202	85.97	4.993	0.00564	-1.44	85.97	4.993	0.00564	0.11202673	114.24	7.667	0.00398	-0.07	114.24	7.667	0.00398	0.37895682	102.2	3.8555	0.003485	-0.58	102.2	3.8555	0.003485	-0.050369456	117.89	4.477	0.00797	-0.54	117.89	4.477	0.00797	-0.23730835	130.0	2.494	0.00465	0.88	130.0	2.494	0.00465	-0.5616872
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2113	01594f60-1968-48f1-8eb1-45ae97673536	78.91	4.443	0.01162	-0.1	78.91	4.443	0.01162	0.14806202	85.97	4.993	0.00564	-1.44	85.97	4.993	0.00564	0.11202673	114.24	7.667	0.00398	-0.07	114.24	7.667	0.00398	0.37895682	102.2	3.8555	0.003485	-0.58	102.2	3.8555	0.003485	-0.050369456	117.89	4.477	0.00797	-0.54	117.89	4.477	0.00797	-0.23730835	130.0	2.494	0.00465	0.88	130.0	2.494	0.00465	-0.5616872	123.12	9.429	0.00398	1.0	123.12	9.429	0.00398	0.20267858
