contig	position	read_name	-3_event_level_mean	-3_event_stdv	-3_event_length	-3_standardized_level	-3_event_level_median	-3_event_stdv_median	-3_event_length_median	-3_diff_stdv	-2_event_level_mean	-2_event_stdv	-2_event_length	-2_standardized_level	-2_event_level_median	-2_event_stdv_median	-2_event_length_median	-2_diff_stdv	-1_event_level_mean	-1_event_stdv	-1_event_length	-1_standardized_level	-1_event_level_median	-1_event_stdv_median	-1_event_length_median	-1_diff_stdv	0_event_level_mean	0_event_stdv	0_event_length	0_standardized_level	0_event_level_median	0_event_stdv_median	0_event_length_median	0_diff_stdv	+1_event_level_mean	+1_event_stdv	+1_event_length	+1_standardized_level	+1_event_level_median	+1_event_stdv_median	+1_event_length_median	+1_diff_stdv	+2_event_level_mean	+2_event_stdv	+2_event_length	+2_standardized_level	+2_event_level_median	+2_event_stdv_median	+2_event_length_median	+2_diff_stdv	+3_event_level_mean	+3_event_stdv	+3_event_length	+3_standardized_level	+3_event_level_median	+3_event_stdv_median	+3_event_length_median	+3_diff_stdv
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2604	bd615a96-2f55-4d1c-9e06-c5f72ab80274	104.49	2.48	0.00232	-0.38	104.49	2.48	0.00232	-0.5775128	131.37	3.933	0.00232	1.03	131.37	3.933	0.00232	-0.1789144	84.91	11.221	0.00631	1.53	84.91	11.221	0.00631	2.9932384	69.0375	1.0495	0.005395	-0.1625	69.0375	1.0495	0.005395	-0.5534043	72.0	1.379	0.00764	-0.91	72.0	1.379	0.00764	-0.51614034	79.42	1.6416667	0.0030966667	-0.9433333	79.62	1.335	0.00332	-0.28623188	95.55	1.354	0.00232	1.79	95.55	1.354	0.00232	-0.55606556
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	133	bea0224b-53bc-43b5-b26f-031f3eb076c3	129.6	1.187	0.00266	0.84	129.6	1.187	0.00266	-0.79778534	132.66	1.549	0.00332	1.16	132.66	1.549	0.00332	-0.676618	86.47	3.5585	0.00266	0.5	86.47	3.5585	0.00266	0.119025156	75.9925	1.8145	0.00714	0.4575	75.9925	1.8145	0.00714	-0.034840427	83.17	4.623	0.00598	0.85	83.17	4.623	0.00598	0.4537736	93.49	6.063	0.00266	1.58	93.49	6.063	0.00266	0.21746989	114.47	3.159	0.00199	-0.21	114.47	3.159	0.00199	-0.22
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2511	cac133d7-2480-45a7-8f80-289a6feeeca9	107.52443	3.3624642	0.006355	0.061642855	107.59	3.208	0.005645	-0.25112155	118.4975	10.66925	0.0038175	0.0075	118.4975	10.66925	0.0038175	1.2274008	74.8	2.13	0.00631	-1.18	74.8	2.13	0.00631	-0.24199288	68.835	1.6095	0.018595	0.265	68.835	1.6095	0.018595	-0.22246377	78.5	2.516	0.00266	2.22	78.5	2.516	0.00266	0.0706383	92.36	2.429	0.006804167	-0.44916666	92.55	2.362	0.0058075	-0.1477193	113.42	3.183	0.01162	1.06	113.42	3.183	0.01162	-0.29109132
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2527	cac133d7-2480-45a7-8f80-289a6feeeca9	101.83	5.31	0.01195	-0.68	101.83	5.31	0.01195	-0.09540034	126.06	2.038	0.00299	0.07	126.06	2.038	0.00299	-0.57453024	80.585	3.57175	0.008465	0.3275	80.585	3.57175	0.008465	0.2710854	82.31	1.357	0.00232	-0.14	82.31	1.357	0.00232	-0.5118705	101.2	2.013	0.00398	1.02	101.2	2.013	0.00398	-0.49548873	116.62	5.05	0.0166	0.06	116.62	5.05	0.0166	-0.11247803	126.93	1.577	0.00266	0.47	126.93	1.577	0.00266	-0.73134583
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1861	d924d38b-1deb-4fb0-90b5-818e1dae0831	107.655	3.236	0.002825	0.085	107.655	3.236	0.002825	-0.2792873	110.43	5.903	0.00266	-1.27	110.43	5.903	0.00266	0.23235908	85.37	4.621	0.00863	1.48	85.37	4.621	0.00863	0.644484	75.09	1.803	0.00697	0.93	75.09	1.803	0.00697	-0.23276596	76.48	0.8475	0.002155	-0.37	76.48	0.8475	0.002155	-0.6497934	89.765	1.9365	0.00614	0.86	89.765	1.9365	0.00614	-0.2692453	100.5875	4.3025	0.004315	0.2475	100.5875	4.3025	0.004315	0.13822751
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	656	e3f2f20b-238e-4793-82db-cf4b23c0d44b	118.53	7.698	0.00332	-0.61	118.53	7.698	0.00332	0.31141397	128.7675	4.635	0.00747	0.4925	128.7675	4.635	0.00747	-0.032359082	82.11	7.765	0.00432	0.59	82.11	7.765	0.00432	1.7633452	71.3	1.455	0.00863	0.58	71.3	1.455	0.00863	-0.38085106	71.34	1.034	0.01129	-0.76	71.34	1.034	0.01129	-0.63719296	77.3	0.8705	0.003485	-0.79	77.3	0.8705	0.003485	-0.6215217	89.346664	1.4428333	0.00509	0.3475	89.89	1.3365	0.005145	-0.32261345
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1946	e3fe6e89-2883-40d8-881e-7c9972af707f	124.07	4.769	0.00232	0.75	124.07	4.769	0.00232	-0.14226618	113.21	9.139	0.00266	2.77	113.21	9.139	0.00266	1.6489855	91.95	5.534	0.00896	-0.26	91.95	5.534	0.00896	1.0271063	81.84	1.461	0.00315	0.475	81.84	1.461	0.00315	-0.396281	74.49	1.255	0.00863	0.1	74.49	1.255	0.00863	-0.3937198	69.505	0.97425	0.0067225	0.2475	69.505	0.97425	0.0067225	-0.57641304	66.7225	1.2045	0.008715	0.175	66.7225	1.2045	0.008715	-0.41811594
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	656	eaf66a12-341f-4ba5-9c45-b06b2dfa8bd3	114.82	3.2045	0.009295	-1.09	114.82	3.2045	0.009295	-0.4540886	124.125	5.7285	0.006975	-0.23	124.125	5.7285	0.006975	0.19592902	79.38	1.4456667	0.00376	-0.14	78.75	1.127	0.00398	-0.48552787	72.58	1.198	0.00631	1.0	72.58	1.198	0.00631	-0.49021277	77.79	1.482	0.00432	0.94	77.79	1.482	0.00432	-0.48	83.06	2.439	0.00564	1.09	83.06	2.439	0.00564	0.06043478	86.62	1.344	0.00365	-0.61	86.62	1.344	0.00365	-0.36901408
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	1043	eaf66a12-341f-4ba5-9c45-b06b2dfa8bd3	129.51	2.183	0.00232	1.03	129.51	2.183	0.00232	-0.6073741	106.14	2.183	0.00299	1.17	106.14	2.183	0.00299	-0.3672464	94.74	2.1755	0.00448	0.485	94.74	2.1755	0.00448	-0.20311356	88.42	1.644	0.01826	0.61	88.42	1.644	0.01826	-0.4231579	94.05	2.315	0.00199	-0.2	94.05	2.315	0.00199	-0.2603834	101.71	7.9	0.00498	-0.84	101.71	7.9	0.00498	1.0466322	84.315	2.6775	0.00548	0.61	84.315	2.6775	0.00548	-0.1134106
ENST00000327044.7|ENSG00000188976.11|OTTHUMG00000040720.2|OTTHUMT00000097869.2|NOC2L-201|NOC2L|2757|protein_coding|	2384	fb95c773-34a1-4fd2-9360-d37dfbcd18fb	120.9	4.393	0.00299	0.63	120.9	4.393	0.00299	0.3858044	110.71	14.71	0.00764	-1.22	110.71	14.71	0.00764	2.0709813	80.94	3.6905	0.01079	-0.015	80.94	3.6905	0.01079	0.16053459	79.55	2.779	0.00299	-0.69	79.55	2.779	0.00299	-0.4540275	100.2	8.188	0.00199	-1.35	100.2	8.188	0.00199	0.044387754	124.55	5.066	0.00232	0.61	124.55	5.066	0.00232	-0.045951035	113.99	5.62	0.010623333	0.32666665	114.01	5.044	0.01361	0.5830986
