contig	position
ENST00000054650.9	0
ENST00000054650.9	1
ENST00000054650.9	3
ENST00000054650.9	6
ENST00000054650.9	7
ENST00000054650.9	8
ENST00000054650.9	9
ENST00000054650.9	10
ENST00000054650.9	11
ENST00000054650.9	12
ENST00000054650.9	13
ENST00000054650.9	14
ENST00000054650.9	18
ENST00000054650.9	19
ENST00000054650.9	20
ENST00000054650.9	21
ENST00000054650.9	23
ENST00000054650.9	24
ENST00000054650.9	25
ENST00000054650.9	26
ENST00000054650.9	27
ENST00000054650.9	28
ENST00000054650.9	29
ENST00000054650.9	30
ENST00000054650.9	31
ENST00000054650.9	32
ENST00000054650.9	34
ENST00000054650.9	35
ENST00000054650.9	36
ENST00000054650.9	37
ENST00000054650.9	38
ENST00000054650.9	40
ENST00000054650.9	41
ENST00000054650.9	42
ENST00000054650.9	43
ENST00000054650.9	44
ENST00000054650.9	45
ENST00000054650.9	46
ENST00000054650.9	47
ENST00000054650.9	48
ENST00000054650.9	49
ENST00000054650.9	50
ENST00000054650.9	51
ENST00000054650.9	52
ENST00000054650.9	53
ENST00000054650.9	54
ENST00000054650.9	55
ENST00000054650.9	56
ENST00000054650.9	57
ENST00000054650.9	58
ENST00000054650.9	59
ENST00000054650.9	60
ENST00000054650.9	61
ENST00000054650.9	62
ENST00000054650.9	63
ENST00000054650.9	64
ENST00000054650.9	65
ENST00000054650.9	67
ENST00000054650.9	68
ENST00000054650.9	72
ENST00000054650.9	73
ENST00000054650.9	74
ENST00000054650.9	76
ENST00000054650.9	77
ENST00000054650.9	78
ENST00000054650.9	79
ENST00000054650.9	80
ENST00000054650.9	81
ENST00000054650.9	82
ENST00000054650.9	83
ENST00000054650.9	84
ENST00000054650.9	85
ENST00000054650.9	86
ENST00000054650.9	90
ENST00000054650.9	91
ENST00000054650.9	92
ENST00000054650.9	93
ENST00000054650.9	94
ENST00000054650.9	95
ENST00000054650.9	96
ENST00000054650.9	97
ENST00000054650.9	98
ENST00000054650.9	99
ENST00000054650.9	100
ENST00000054650.9	101
ENST00000054650.9	102
ENST00000054650.9	103
ENST00000054650.9	104
ENST00000054650.9	105
ENST00000054650.9	108
ENST00000054650.9	109
ENST00000054650.9	110
ENST00000054650.9	118
ENST00000054650.9	119
ENST00000054650.9	122
ENST00000054650.9	123
ENST00000054650.9	124
ENST00000054650.9	125
ENST00000054650.9	126
ENST00000054650.9	127
ENST00000054650.9	128
ENST00000054650.9	129
ENST00000054650.9	130
ENST00000054650.9	131
ENST00000054650.9	132
ENST00000054650.9	133
ENST00000054650.9	134
ENST00000054650.9	135
ENST00000054650.9	136
ENST00000054650.9	137
ENST00000054650.9	138
ENST00000054650.9	139
ENST00000054650.9	140
ENST00000054650.9	141
