Trans	Position
ENST00000416718.2	81
ENST00000416718.2	145
ENST00000416718.2	157
ENST00000416718.2	184
ENST00000327044.7	656
ENST00000477976.5	2766
ENST00000379370.7	6241
ENST00000620552.4	6307
ENST00000651234.1	6392
ENST00000652369.2	6323
ENST00000461111.1	2304
ENST00000379370.7	6290
ENST00000620552.4	6356
ENST00000651234.1	6441
ENST00000652369.2	6372
ENST00000461111.1	2353
ENST00000418300.1	48
ENST00000379370.7	6334
ENST00000620552.4	6400
ENST00000651234.1	6485
ENST00000652369.2	6416
ENST00000461111.1	2397
ENST00000418300.1	92
ENST00000379370.7	6338
ENST00000620552.4	6404
ENST00000651234.1	6489
ENST00000652369.2	6420
ENST00000461111.1	2401
ENST00000418300.1	96
ENST00000379370.7	6357
ENST00000620552.4	6423
ENST00000651234.1	6508
ENST00000652369.2	6439
ENST00000461111.1	2420
ENST00000418300.1	115
ENST00000379370.7	6406
ENST00000620552.4	6472
ENST00000651234.1	6557
ENST00000652369.2	6488
ENST00000461111.1	2469
ENST00000418300.1	164
ENST00000379370.7	6668
ENST00000620552.4	6734
ENST00000651234.1	6819
ENST00000652369.2	6750
ENST00000461111.1	2731
ENST00000379370.7	6676
ENST00000620552.4	6742
ENST00000651234.1	6827
ENST00000652369.2	6758
ENST00000461111.1	2739
ENST00000379370.7	6757
ENST00000620552.4	6823
ENST00000651234.1	6908
ENST00000652369.2	6839
ENST00000461111.1	2820
ENST00000379370.7	6781
ENST00000620552.4	6847
ENST00000651234.1	6932
ENST00000652369.2	6863
ENST00000461111.1	2844
ENST00000379370.7	6817
ENST00000620552.4	6883
ENST00000651234.1	6968
ENST00000652369.2	6899
ENST00000461111.1	2880
ENST00000379370.7	6888
ENST00000620552.4	6954
ENST00000651234.1	7039
ENST00000652369.2	6970
ENST00000461111.1	2951
ENST00000360001.12	1281
ENST00000263741.12	1311
ENST00000465727.5	1327
ENST00000494748.1	2864
ENST00000478938.1	1939
ENST00000360001.12	1300
ENST00000263741.12	1330
ENST00000465727.5	1346
ENST00000494748.1	2883
ENST00000478938.1	1958
ENST00000360001.12	1680
ENST00000263741.12	1710
ENST00000465727.5	1726
ENST00000494748.1	3263
ENST00000478938.1	2338
ENST00000360001.12	1762
ENST00000263741.12	1792
ENST00000465727.5	1808
ENST00000494748.1	3345
ENST00000478938.1	2420
ENST00000360001.12	1813
ENST00000263741.12	1843
ENST00000465727.5	1859
ENST00000494748.1	3396
ENST00000478938.1	2471
ENST00000379198.5	395
ENST00000379198.5	434
ENST00000379198.5	896
ENST00000379198.5	1554
ENST00000379198.5	1607
ENST00000379198.5	1615
ENST00000379198.5	1651
ENST00000379198.5	1736
ENST00000379198.5	1807
ENST00000379198.5	1812
ENST00000379198.5	1848
ENST00000379198.5	1887
ENST00000379198.5	2361
ENST00000379198.5	2433
ENST00000379198.5	2601
ENST00000450390.6	1894
ENST00000349431.11	1699
ENST00000347370.6	1826
ENST00000450390.6	1979
ENST00000349431.11	1784
ENST00000347370.6	1911
ENST00000400929.6	581
ENST00000450390.6	2205
ENST00000349431.11	2010
ENST00000347370.6	2137
ENST00000400929.6	807
ENST00000464036.5	1006
ENST00000360466.6	797
ENST00000400930.8	771
ENST00000450390.6	2242
ENST00000349431.11	2047
ENST00000347370.6	2174
ENST00000400929.6	844
ENST00000464036.5	1043
ENST00000360466.6	834
ENST00000400930.8	808
ENST00000467339.1	302
ENST00000473215.5	815
ENST00000450390.6	2382
ENST00000349431.11	2187
ENST00000347370.6	2314
ENST00000400929.6	984
ENST00000464036.5	1183
ENST00000360466.6	974
ENST00000400930.8	948
ENST00000467339.1	442
ENST00000473215.5	955
ENST00000435198.5	983
ENST00000379031.10	1143
ENST00000493657.1	1670
ENST00000706602.1	910
ENST00000429572.5	469
ENST00000498173.2	954
ENST00000496353.1	224
ENST00000429572.5	618
ENST00000498173.2	1103
ENST00000496353.1	373
ENST00000540437.5	757
ENST00000545578.5	391
ENST00000323275.10	684
ENST00000435064.6	257
ENST00000458452.7	720
ENST00000450926.6	267
ENST00000527098.5	370
ENST00000528879.5	245
ENST00000531377.5	5
ENST00000434694.6	451
ENST00000488042.6	226
ENST00000526797.5	255
ENST00000526332.5	85
ENST00000430786.5	406
ENST00000527719.5	345
ENST00000530031.5	397
ENST00000525603.1	455
ENST00000429572.5	880
ENST00000498173.2	1365
ENST00000496353.1	635
ENST00000493534.6	491
ENST00000540437.5	775
ENST00000545578.5	409
ENST00000323275.10	702
ENST00000435064.6	275
ENST00000458452.7	738
ENST00000450926.6	285
ENST00000527098.5	388
ENST00000528879.5	263
ENST00000531377.5	23
ENST00000434694.6	469
ENST00000488042.6	244
ENST00000526797.5	273
ENST00000526332.5	103
ENST00000430786.5	424
ENST00000527719.5	363
ENST00000530031.5	415
ENST00000525603.1	473
ENST00000429572.5	898
ENST00000498173.2	1383
ENST00000496353.1	653
ENST00000493534.6	509
ENST00000534345.5	279
ENST00000496353.1	1003
ENST00000493534.6	859
ENST00000532952.5	556
ENST00000490853.5	529
ENST00000470679.3	547
ENST00000496353.1	1164
ENST00000532952.5	717
ENST00000490853.5	690
ENST00000496353.1	1785
ENST00000464957.1	1014
ENST00000343938.9	1165
ENST00000464957.1	1021
ENST00000343938.9	1172
ENST00000464957.1	1027
ENST00000343938.9	1178
ENST00000464957.1	1077
ENST00000343938.9	1228
ENST00000343938.9	1656
ENST00000343938.9	1819
ENST00000378891.9	1974
ENST00000378888.10	2353
ENST00000378891.9	2037
ENST00000378888.10	2416
ENST00000378891.9	2573
ENST00000378888.10	2952
ENST00000338370.7	643
ENST00000321751.9	371
ENST00000338338.10	330
ENST00000378853.3	453
ENST00000338370.7	744
ENST00000321751.9	472
ENST00000338338.10	431
ENST00000378853.3	554
ENST00000489799.1	195
ENST00000338370.7	369
ENST00000378853.3	77
ENST00000489799.1	77
ENST00000496905.1	369
ENST00000480479.5	2229
ENST00000400809.8	2549
ENST00000482621.5	1496
ENST00000463260.5	1378
ENST00000496007.5	3889
ENST00000482365.5	2057
ENST00000481223.6	2252
ENST00000418865.6	2519
ENST00000480479.5	2297
ENST00000400809.8	2617
ENST00000482621.5	1564
ENST00000463260.5	1446
ENST00000496007.5	3957
ENST00000482365.5	2125
ENST00000481223.6	2320
ENST00000418865.6	2587
ENST00000480479.5	2543
ENST00000400809.8	2863
ENST00000482621.5	1810
ENST00000463260.5	1692
ENST00000496007.5	4203
ENST00000482365.5	2371
ENST00000481223.6	2566
ENST00000418865.6	2833
ENST00000505849.5	1254
ENST00000488340.5	1349
ENST00000448629.9	343
ENST00000444362.3	300
ENST00000572242.2	769
ENST00000659048.2	768
ENST00000780221.1	474
ENST00000418833.2	757
ENST00000780223.1	273
ENST00000702620.2	451
ENST00000576232.2	263
ENST00000570344.2	259
ENST00000447725.2	424
ENST00000448629.9	555
ENST00000444362.3	512
ENST00000572242.2	1282
ENST00000659048.2	980
ENST00000780221.1	686
ENST00000685968.2	925
ENST00000780220.1	788
ENST00000418833.2	969
ENST00000689419.3	437
ENST00000702056.2	615
ENST00000702620.2	663
ENST00000690954.1	426
ENST00000576232.2	776
ENST00000570344.2	772
ENST00000447725.2	636
ENST00000448629.9	574
ENST00000444362.3	531
ENST00000572242.2	1301
ENST00000659048.2	999
ENST00000780221.1	705
ENST00000685968.2	944
ENST00000780220.1	807
ENST00000418833.2	988
ENST00000689419.3	456
ENST00000702056.2	634
ENST00000702620.2	682
ENST00000690954.1	445
ENST00000576232.2	795
ENST00000570344.2	791
ENST00000447725.2	655
ENST00000448629.9	826
ENST00000444362.3	783
ENST00000572242.2	1553
